"Other services (except public administration)","41.3B","11.8B","55.8C","21.9C","10.5B","37.7B","2.7A","18.3B"
"Business or organization size of employment, all employment sizes 5","42.6A","15.5A","57.6A","17.0A","9.9A","39.8A","4.3A","13.4A"
"1 to 4 employees","30.3A","12.8A","61.0B","16.4A","9.8A","47.4A","6.2A","16.0A"
"5 to 19 employees","54.7A","17.3A","53.3B","18.2A","11.3A","32.5A","2.4A","10.4A"
"20 to 99 employees","65.0B","17.1B","59.2B","16.6A","7.2A","26.0B","0.3A","8.7A"
"100 or more employees","59.4B","19.4B","61.3B","9.7A","9.6A","25.0B","3.0A","12.7A"
"Business or organization type, all businesses or organizations","42.6A","15.5A","57.6A","17.0A","9.9A","39.8A","4.3A","13.4A"
"Government agencies","56.9E","F","F","2.6A","4.3B","14.2C","10.6C","18.2E"
"Private sector businesses","41.7A","15.6A","57.0A","17.4A","10.1A","40.3A","4.4A","13.6A"
"Non-profit organizations","52.2B","12.9B","64.6C","13.8B","8.7B","36.4B","1.3A","10.1A"
"Non-profit organizations serving households or individuals","52.2B","13.4B","62.1C","14.7B","9.8B","36.4B","1.5A","9.9B"
"Non-profit organizations serving businesses","52.0D","9.0C","81.7D","7.9C","1.3A","36.3D","0.0A","11.7B"
"Age of business or organization, all ages","42.6A","15.5A","57.6A","17.0A","9.9A","39.8A","4.3A","13.4A"
"Age of business or organization, 2 years or less","45.7B","9.1B","57.4D","21.7C","11.8D","38.7B","1.2A","14.4B"
"Age of business or organization, 3 to 10 years old","39.5A","15.3A","56.9B","18.5B","9.2A","40.6A","4.0A","15.8A"
"Age of business or organization, 11 to 20 years old","37.0A","19.1B","48.9B","23.0B","9.1A","43.8B","5.4A","13.9A"
"Age of business or organization, more than 20 years old","47.9A","14.9A","62.3B","12.3A","10.5A","36.9A","4.2A","11.0A"
"Geography, all geography","42.6A","15.5A","57.6A","17.0A","9.9A","39.8A","4.3A","13.4A"
"Urban","42.6A","16.0A","57.1A","17.0A","9.9A","39.5A","4.1A","13.8A"
"Rural","42.5B","13.3B","59.7B","16.8B","10.2B","41.4B","4.9A","11.2A"
"Majority ownership, all ownerships 6","41.7A","15.6A","57.0A","17.4A","10.1A","40.3A","4.4A","13.6A"
"Majority ownership, woman","42.7B","14.6B","55.3B","17.3B","12.9B","38.4B","2.5A","16.3B"
"Majority ownership, First Nations, Métis or Inuit","38.1C","11.9C","45.0D","33.4E","9.7C","38.6C","8.9C","14.4B"
"Majority ownership, immigrant to Canada","33.5B","12.4B","55.4B","20.6B","11.7B","43.4B","6.3A","16.8B"
"Majority ownership, person with a disability","40.3D","4.8A","48.2E","16.7C","30.3E","37.0D","7.8B","14.9C"
"Majority ownership, LGBTQ2 people 7","40.7E","10.6C","F","13.1C","F","42.3E","4.5B","12.5B"
"Majority ownership, visible minority","38.2B","16.8B","53.6C","22.0B","7.6A","40.1B","3.9A","17.8B"
"Ownership by visible minority, all visible minorities 8","38.2B","16.8B","53.6C","22.0B","7.6A","40.1B","3.9A","17.8B"
"Ownership by visible minority, South Asian","29.6C","18.9E","46.6D","26.4D","8.1B","46.7C","2.1A","21.6C"
"Ownership by visible minority, Chinese","40.4D","21.7D","53.8E","16.3D","8.1C","41.0D","8.8B","9.7B"
"Ownership by visible minority, Black","46.7E","24.7E","F","14.8D","5.7C","25.7E","2.7A","24.9D"
"Ownership by visible minority, Filipino","41.6E","0.4A","F","F","15.2E","31.9D","0.0A","26.5E"
"Ownership by visible minority, Latin American","F","0.0A","F","F","0.0A","F","0.0A","0.0A"
"Ownership by visible minority, Arab","64.9E","14.3D","F","F","3.8B","23.9E","0.0A","11.2E"
"Ownership by visible minority, Southeast Asian","F","0.0A","F","F","2.8B","F","0.0A","8.9D"
"Ownership by visible minority, West Asian","F","0.1A","F","F","0.0A","9.7D","10.4E","27.6E"
"Ownership by visible minority, Korean","43.9E","11.7D","78.6E","4.8C","4.9B","48.0E","4.3B","3.9B"
"Ownership by visible minority, Japanese","F","0.0A","F","0.0A","F","5.5C","F","F"
"Ownership by visible minority, other visible minority","F","F","F","F","12.5E","F","0.0A","5.2C"
"Ownership by visible minority, preferred not to say","28.8E","1.2A","76.9E","20.0E","2.0A","F","0.0A","F"
"Business or organization activity in the last 12 months, all business or organization activities","42.6A","15.5A","57.6A","17.0A","9.9A","39.8A","4.3A","13.4A"
"Exported goods outside of Canada","38.3B","25.1B","49.6C","12.8B","12.5C","39.9B","2.7A","19.1B"
"Exported services outside of Canada","49.1C","13.5B","48.9E","12.4B","25.2E","39.5C","5.3A","6.1B"
"Made investments outside of Canada","30.4E","10.3C","72.1E","5.4B","12.2D","23.7D","15.3C","30.6E"
"Sold goods to businesses in Canada who then resold them outside of Canada","40.5C","26.7C","57.1E","12.7E","3.5B","32.3C","9.5C","17.7C"
"Imported goods from outside of Canada","57.8B","20.6B","55.2B","13.7B","10.6A","30.3B","0.9A","11.0A"
"Imported services from outside of Canada","54.7C","21.3C","53.8D","6.5A","18.4D","37.7C","0.8A","6.7B"
"Relocated any business or organizational activities or employees from another country into Canada","F","12.4D","F","15.7E","0.9A","24.5E","1.6A","5.9B"
"Relocated any business or organizational activities or employees from Canada to another country","F","15.6E","F","F","7.0C","4.9B","5.3C","F"
"Engaged in other international business activities","48.8E","7.1B","75.2D","9.7B","8.0C","36.9E","0.5A","13.8C"
"Business or organization activity, none or other","39.9A","14.8A","57.0A","18.8A","9.4A","41.6A","4.6A","13.9A"

Symbol legend:
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Source: Statistics Canada, Canadian Survey on Business Conditions, fourth quarter of 2024."
2,"Estimates are subject to sampling error. This error can be expressed as a standard error. All estimates contained in this table have been assigned a letter value to indicate the quality of the estimate, as measured by the standard error (expressed as a percentage). A = Excellent (0.00% to less than 2.50%), B = Very good (2.50% to less than 5.00%), C = Good (5.00% to less than 7.50%), D = Acceptable (7.50% to less than 10.00%), E = Use with caution (10.00% to less than 15.00%), F = Too unreliable to be published (Greater than or equal to 15%, data are suppressed)."
3,"Figures may not add to 100% due to rounding."
4,"The results in this table are based on the survey that was in collection from October 1 to November 4, 2024, and respondents were asked what their expectations would be over the next 12-month period. As a result, those 12 months could range from October 1, 2024, to November 4, 2025, depending on when the business responded."
5,"This includes all employees who would receive a Statement of Remuneration Paid (T4). Excluded from number of employees are business owners, contract workers and other personnel who would not receive a T4."
6,"Majority ownership is defined at 51% or more. Majority ownership was self-reported for private sector businesses only. Majority owners can be counted in more than one ownership category."
7,"The term LGBTQ2 refers to persons who identify as lesbian, gay, bisexual, transgender, queer or two-spirited."
8,"Respondents were asked if the business or organization identified as being majority owned (51% or more) by any visible minority. If so, the business or organization was asked to identify all visible minority types that made up majority ownership. Figures may not represent majority ownership by a specific visible minority."



"How to cite: Statistics Canada. Table 33-10-0906-01  Expected average wage change over the next 12 months, fourth quarter of 2024"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310090601
